Name,PA,BB%,K%,AVG,OBP,SLG,OPS,BABIP,wRC+,WAR/PA
Richie Shaffer,491.000,11.400,24.200,0.222,0.318,0.440,0.759,0.261,112.000,1.000
Rick Hague,479.000,6.900,21.100,0.245,0.301,0.362,0.663,0.300,84.000,0.000
Ricky Oropesa,451.553,8.303,24.426,0.248,0.313,0.383,0.694,0.309,97.699,0.000
Rico Noel,576.000,9.000,20.700,0.266,0.348,0.333,0.681,0.346,98.000,0.000
Rio Ruiz,489.000,12.900,19.200,0.233,0.333,0.324,0.657,0.288,91.000,0.000
Rob Cosby,431.738,4.529,14.860,0.260,0.299,0.432,0.731,0.281,91.991,0.000
Rob Segedin,394.000,13.200,15.200,0.283,0.398,0.428,0.826,0.322,135.000,0.000
Robbie Grossman,577.000,13.300,21.000,0.266,0.376,0.410,0.786,0.335,123.000,0.000
Robbie Widlansky,544.000,11.800,13.600,0.316,0.404,0.446,0.850,0.360,138.000,0.000
Robby Price,491.000,9.800,8.800,0.226,0.318,0.286,0.604,0.240,81.000,0.000
Robert Valido,413.000,4.800,19.400,0.222,0.267,0.300,0.567,0.272,49.000,0.000
Roberto Lopez,499.766,7.347,13.395,0.265,0.334,0.445,0.778,0.281,111.900,0.000
Rodney Choy Foo,444.000,15.100,18.000,0.251,0.366,0.411,0.777,0.285,111.000,0.000
Roemon Fields,556.000,8.100,17.600,0.227,0.295,0.296,0.591,0.275,66.000,0.000
Roger Bernadina,415.000,9.200,19.300,0.270,0.340,0.369,0.709,0.329,96.000,0.000
Roger Kieschnick,501.000,6.800,24.200,0.255,0.307,0.429,0.737,0.309,100.000,0.000
Ron Acuna,439.000,6.200,18.000,0.268,0.318,0.335,0.653,0.326,88.000,0.000
Ronald Bermudez,385.000,4.400,15.800,0.291,0.322,0.378,0.700,0.338,93.000,0.000
Ronald Guzman,416.000,7.900,19.700,0.288,0.348,0.477,0.825,0.331,135.000,0.000
Ronald Torreyes,427.000,6.600,6.800,0.269,0.329,0.368,0.697,0.284,102.000,1.000
Ronnie Merrill,503.000,8.000,18.900,0.244,0.314,0.354,0.668,0.297,75.000,0.000
Ronnie Welty,453.000,11.300,27.600,0.228,0.322,0.394,0.716,0.297,98.000,0.000
Ronny Rodriguez,473.876,4.335,17.807,0.247,0.281,0.351,0.632,0.291,72.013,0.000
Rosell Herrera,494.000,11.300,16.000,0.292,0.374,0.379,0.753,0.345,112.000,0.000
Rowdy Tellez,514.000,12.300,17.900,0.297,0.387,0.530,0.917,0.324,152.000,0.000
Ruben Tejada,553.000,6.700,10.700,0.289,0.351,0.381,0.732,0.319,106.000,1.000
Rubi Silva,490.000,3.700,20.200,0.284,0.310,0.483,0.793,0.331,126.000,0.000
Ruddy Yan,412.000,7.800,9.500,0.263,0.321,0.340,0.662,0.285,82.000,0.000
Rudy Flores,490.000,6.500,28.200,0.241,0.309,0.391,0.700,0.315,99.000,0.000
Russ Canzler,411.000,11.200,23.100,0.287,0.372,0.566,0.938,0.332,152.000,0.000
Russell Mitchell,522.306,7.460,17.164,0.253,0.311,0.416,0.726,0.281,95.039,0.000
Rusty Ryal,509.000,6.900,18.900,0.274,0.334,0.443,0.777,0.312,106.000,1.000
Ryan Adams,594.000,7.900,20.400,0.298,0.365,0.464,0.829,0.358,126.000,0.000
Ryan Bear,483.658,9.938,18.100,0.248,0.330,0.358,0.688,0.292,96.275,0.000
Ryan Brett,459.000,5.200,16.100,0.303,0.346,0.448,0.794,0.350,122.000,0.000
Ryan Casteel,454.295,7.725,19.641,0.276,0.333,0.438,0.770,0.319,117.504,0.000
Ryan Cavan,469.000,6.800,19.000,0.228,0.283,0.338,0.621,0.262,68.000,0.000
Ryan Cordell,445.000,7.200,21.800,0.264,0.319,0.484,0.803,0.299,127.000,0.000
Ryan Curry,418.634,5.375,11.250,0.248,0.298,0.369,0.667,0.264,79.892,0.000
Ryan Finan,438.000,11.000,19.400,0.257,0.347,0.406,0.753,0.300,103.000,0.000
Ryan Goins,618.000,7.600,12.600,0.289,0.342,0.403,0.745,0.323,105.000,0.000
Ryan Goleski,473.208,9.875,21.593,0.254,0.332,0.394,0.727,0.308,97.420,0.000
Ryan Harvey,382.000,7.900,26.200,0.246,0.309,0.519,0.828,0.274,116.000,0.000
Ryan Jackson,599.000,7.300,15.200,0.278,0.334,0.415,0.749,0.314,99.000,0.000
Ryan Kalish,437.000,9.600,19.900,0.271,0.341,0.440,0.781,0.316,117.000,0.000
Ryan Khoury,445.000,14.200,23.100,0.223,0.346,0.313,0.659,0.301,92.000,0.000
Ryan Klosterman,393.000,9.550,18.950,0.228,0.314,0.337,0.650,0.278,82.500,0.000
Ryan LaMarre,537.362,9.696,19.764,0.255,0.342,0.363,0.704,0.315,104.480,0.000
Ryan Lollis,539.000,9.300,11.300,0.267,0.345,0.377,0.722,0.290,103.000,0.000
Ryan McBroom,548.000,7.800,20.400,0.247,0.323,0.395,0.718,0.287,98.000,0.000
Ryan McMahon,535.000,10.300,30.100,0.242,0.325,0.399,0.724,0.338,101.000,0.000
Ryan Mulhern,501.000,8.000,24.600,0.268,0.335,0.438,0.773,0.335,120.000,0.000
Ryan O'Hearn,466.000,10.300,28.100,0.258,0.339,0.437,0.776,0.342,123.000,0.000
Ryan Patterson,482.617,4.648,19.164,0.257,0.293,0.441,0.734,0.286,93.907,0.000
Ryan Roberson,485.000,7.000,24.700,0.289,0.346,0.507,0.853,0.341,128.000,0.000
Ryan Schimpf,529.000,14.900,26.100,0.210,0.338,0.428,0.766,0.248,114.000,1.000
Ryan Strausborger,500.648,7.059,20.327,0.231,0.297,0.360,0.657,0.281,82.784,0.000
Ryan Walker,436.000,11.700,19.500,0.234,0.328,0.324,0.652,0.290,93.000,0.000
Ryan Wheeler,531.000,8.500,19.200,0.294,0.358,0.465,0.822,0.343,119.000,0.000
Ryder Jones,513.000,5.100,15.400,0.247,0.291,0.397,0.688,0.266,88.000,0.000
Rymer Liriano,415.000,8.400,24.600,0.264,0.335,0.442,0.777,0.326,122.000,0.000
Ryon Healy,543.000,5.500,15.100,0.302,0.339,0.426,0.766,0.341,113.000,1.000
Salvador Sanchez,425.000,5.600,23.300,0.240,0.289,0.394,0.683,0.294,84.000,0.000
Sam Fuld,394.516,11.557,9.901,0.280,0.369,0.384,0.753,0.305,108.471,1.000
Samir Duenez,566.000,6.500,20.500,0.252,0.304,0.402,0.705,0.293,95.000,0.000
Sawyer Carroll,523.504,11.151,21.043,0.254,0.338,0.404,0.743,0.306,101.049,0.000
Scooter Gennett,573.000,4.900,12.400,0.293,0.330,0.385,0.714,0.328,99.000,1.000
Scott Beerer,425.000,4.700,14.800,0.258,0.295,0.315,0.610,0.296,68.000,0.000
Scott Campbell,492.000,13.400,12.800,0.302,0.398,0.427,0.825,0.337,127.000,0.000
Scott Cousins,533.000,7.900,20.100,0.263,0.323,0.448,0.771,0.313,113.000,0.000
Scott Heineman,529.000,9.500,22.900,0.284,0.363,0.427,0.790,0.365,124.000,0.000
Scott Moore,533.000,10.300,23.600,0.276,0.360,0.479,0.839,0.331,141.000,0.000
Scott Savastano,429.000,10.500,14.500,0.283,0.362,0.446,0.808,0.313,119.000,0.000
Scott Schebler,560.000,8.000,19.600,0.280,0.365,0.556,0.921,0.308,154.000,1.000
Scott Van Slyke,529.000,12.300,18.900,0.348,0.427,0.595,1.022,0.406,173.000,1.000
Sean Coyle,384.000,9.900,24.700,0.295,0.371,0.512,0.883,0.362,144.000,0.000
Sean Danielson,369.000,10.300,11.100,0.291,0.370,0.384,0.755,0.322,107.000,0.000
Sean Halton,482.000,6.600,17.200,0.298,0.346,0.440,0.786,0.348,110.000,0.000
Sean Henry,456.533,7.983,14.961,0.284,0.352,0.423,0.774,0.322,113.310,0.000
Sean Jamieson,374.000,8.300,16.300,0.298,0.362,0.429,0.791,0.350,123.000,0.000
Sean Kazmar,433.000,8.800,15.200,0.264,0.333,0.359,0.691,0.309,85.000,0.000
Sean Rodriguez,587.000,9.200,22.500,0.254,0.345,0.423,0.769,0.309,108.000,1.000
Sebastian Elizalde,438.000,4.100,13.900,0.297,0.324,0.387,0.711,0.332,105.000,0.000
Sebastien Boucher,494.000,13.200,18.400,0.248,0.351,0.305,0.656,0.313,80.000,0.000
Sergio Miranda,401.000,7.500,10.200,0.270,0.332,0.326,0.657,0.301,81.000,0.000
Sergio Santos,483.000,8.900,20.100,0.250,0.325,0.477,0.802,0.278,115.000,0.000
Seth Johnston,471.582,7.700,19.292,0.242,0.303,0.382,0.684,0.275,80.211,0.000
Seth Loman,485.297,9.193,21.818,0.275,0.368,0.461,0.829,0.329,129.951,0.000
Seth Mejias-Brean,475.000,13.300,20.200,0.247,0.352,0.360,0.712,0.307,107.000,0.000
Seth Smith,582.000,8.800,12.700,0.294,0.361,0.483,0.844,0.320,121.000,1.000
Shane Justis,475.155,7.983,12.184,0.272,0.351,0.369,0.719,0.307,101.531,0.000
Shane Opitz,391.000,5.600,12.500,0.240,0.283,0.335,0.618,0.269,76.000,0.000
Shane Peterson,536.000,10.600,20.100,0.265,0.354,0.367,0.722,0.330,103.000,0.000
Shannon Wilkerson,488.884,8.617,17.650,0.250,0.318,0.346,0.663,0.301,85.770,0.000
Shaun Cumberland,512.000,7.000,17.800,0.259,0.316,0.362,0.678,0.306,86.000,0.000
Shaun Larkin,428.000,7.700,11.000,0.253,0.313,0.358,0.671,0.274,91.000,0.000
Shawn Bowman,408.088,7.632,24.854,0.261,0.325,0.434,0.758,0.324,107.455,0.000
Shawn Pleffner,440.000,9.300,15.000,0.269,0.342,0.355,0.697,0.316,103.000,0.000
Shelley Duncan,394.000,8.600,19.500,0.256,0.327,0.487,0.815,0.274,127.000,0.000
Sherman Johnson,591.000,15.100,17.300,0.204,0.325,0.314,0.639,0.240,84.000,0.000
Simon Klink,423.012,8.477,25.453,0.245,0.314,0.360,0.675,0.323,83.005,0.000
Slade Heathcott,420.492,8.711,23.254,0.261,0.333,0.422,0.755,0.328,108.702,0.000
Socrates Brito,522.000,5.600,16.100,0.300,0.339,0.451,0.790,0.346,122.000,1.000
Starling Marte,572.000,3.800,17.500,0.332,0.370,0.500,0.870,0.390,138.000,1.000
Stefan Gartrell,440.661,10.404,23.310,0.269,0.351,0.468,0.819,0.324,123.524,0.000
Stefan Welch,400.000,12.000,24.800,0.222,0.336,0.360,0.696,0.284,97.000,0.000
Steffan Wilson,461.000,7.800,19.500,0.236,0.296,0.325,0.620,0.284,68.000,0.000
Stephen Bruno,411.180,6.489,17.185,0.270,0.341,0.366,0.707,0.325,101.956,0.000
Stephen Head,434.000,5.500,17.300,0.290,0.325,0.455,0.780,0.323,106.000,0.000
Stephen Parker,576.000,12.000,18.600,0.286,0.373,0.413,0.786,0.345,112.000,0.000
Stephen Vogt,427.000,7.000,11.900,0.301,0.344,0.487,0.831,0.310,118.000,1.000
Stetson Allie,458.402,11.663,27.176,0.232,0.327,0.418,0.744,0.287,109.106,0.000
Steve Moss,543.812,12.888,23.956,0.238,0.340,0.360,0.700,0.309,101.116,0.000
Steve Singleton,564.000,6.900,10.100,0.267,0.325,0.410,0.735,0.283,98.000,0.000
Steve Sollmann,546.000,11.200,11.500,0.283,0.395,0.375,0.770,0.319,120.000,0.000
Steve Tolleson,397.000,11.100,18.600,0.300,0.382,0.466,0.848,0.357,131.000,0.000
Steven Hill,462.691,8.122,21.477,0.281,0.341,0.502,0.844,0.320,125.326,0.000
Steven Moya,549.000,4.200,29.300,0.276,0.306,0.555,0.861,0.327,131.000,0.000
Steven Murphy,543.887,5.916,20.989,0.269,0.315,0.455,0.770,0.315,100.080,0.000
Stuart Turner,379.000,11.900,18.200,0.223,0.322,0.306,0.628,0.268,83.000,0.000
T.J. Steele,444.000,3.600,25.700,0.214,0.249,0.354,0.603,0.266,55.000,0.000
T.J. White,416.000,9.100,20.200,0.276,0.358,0.484,0.842,0.322,144.000,0.000
Taylor Ard,413.000,7.500,27.800,0.215,0.291,0.370,0.660,0.273,89.000,0.000
Taylor Featherston,550.000,6.900,20.700,0.260,0.322,0.439,0.760,0.305,116.000,0.000
Taylor Green,451.000,10.000,14.900,0.260,0.336,0.438,0.773,0.277,107.000,0.000
Taylor Harbin,506.344,6.373,15.758,0.265,0.318,0.374,0.692,0.303,86.651,0.000
Taylor Lindsey,567.000,8.500,16.000,0.274,0.339,0.441,0.780,0.303,119.000,0.000
Taylor Motter,506.000,6.700,14.000,0.274,0.326,0.436,0.762,0.289,111.000,0.000
Teodoro Martinez,470.000,3.800,14.500,0.248,0.283,0.379,0.662,0.263,86.000,0.000
Teoscar Hernandez,514.000,6.400,24.500,0.219,0.275,0.362,0.637,0.261,75.000,1.000
Thairo Estrada,542.000,6.300,10.300,0.301,0.353,0.392,0.745,0.327,107.000,0.000
Thomas Collaro,445.642,5.277,28.950,0.236,0.282,0.407,0.690,0.304,89.034,0.000
Thomas Coyle,416.000,13.700,26.400,0.229,0.337,0.347,0.684,0.314,99.000,0.000
Thomas Neal,533.768,8.746,15.655,0.301,0.377,0.452,0.829,0.343,130.137,0.000
Tim Anderson,550.000,4.400,20.700,0.312,0.350,0.429,0.779,0.391,121.000,1.000
Tim Beckham,468.000,8.300,19.400,0.275,0.339,0.395,0.734,0.334,100.000,1.000
Tim Brown,402.000,10.000,16.200,0.274,0.357,0.430,0.787,0.301,113.000,0.000
Tim Fedroff,501.000,9.600,18.000,0.274,0.349,0.366,0.715,0.334,99.000,0.000
Tim Locastro,420.000,5.200,13.300,0.285,0.366,0.429,0.795,0.317,126.000,0.000
Tim Lopes,554.866,9.300,15.670,0.278,0.348,0.372,0.721,0.327,106.248,0.000
Tim Torres,399.000,14.300,22.100,0.275,0.381,0.478,0.858,0.333,134.000,0.000
Tim Wheeler,637.000,9.300,22.300,0.287,0.365,0.535,0.900,0.329,136.000,0.000
Todd Cunningham,519.000,7.300,9.800,0.309,0.364,0.403,0.767,0.340,116.000,0.000
Todd Frazier,500.000,8.400,13.400,0.290,0.350,0.481,0.831,0.312,131.000,1.000
Todd Glaesmann,529.000,4.900,20.800,0.240,0.289,0.378,0.667,0.285,91.000,0.000
Todd Hankins,495.164,6.553,23.331,0.241,0.297,0.357,0.655,0.306,84.782,0.000
Tom Belza,478.000,10.500,18.600,0.305,0.387,0.387,0.774,0.383,122.000,0.000
Tomas Nido,404.000,7.400,15.600,0.232,0.287,0.354,0.641,0.255,74.000,0.000
Tommy Everidge,607.000,9.100,21.900,0.279,0.346,0.467,0.813,0.323,111.000,0.000
Tommy Field,544.000,9.700,19.900,0.271,0.357,0.439,0.795,0.316,114.000,0.000
Tommy Joseph,449.000,7.600,21.400,0.257,0.317,0.399,0.715,0.307,97.000,0.000
Tommy Mendonca,556.000,6.300,28.800,0.278,0.335,0.492,0.827,0.355,114.000,0.000
Tony Abreu,509.000,6.500,13.600,0.287,0.343,0.392,0.734,0.322,113.000,0.000
Tony Blanco,442.000,7.000,16.700,0.323,0.385,0.587,0.973,0.343,152.000,0.000
Tony Campana,550.000,8.000,14.900,0.319,0.378,0.384,0.763,0.380,113.000,1.000
Tony Cruz,444.000,7.700,19.100,0.220,0.281,0.366,0.647,0.253,72.000,0.000
Tony Granadillo,412.000,13.300,18.200,0.232,0.342,0.338,0.680,0.279,90.000,0.000
Tony Plagman,438.000,6.200,22.400,0.229,0.295,0.410,0.705,0.268,90.000,0.000
Tony Renda,532.000,8.100,7.300,0.269,0.330,0.358,0.689,0.285,100.000,0.000
Tony Sanchez,469.000,10.000,16.200,0.241,0.340,0.318,0.658,0.285,88.000,0.000
Tony Thomas,478.938,7.981,24.068,0.247,0.317,0.418,0.735,0.309,101.057,0.000
Tony Wolters,387.000,9.000,19.100,0.249,0.319,0.314,0.633,0.309,78.000,1.000
Tonys Gutierrez,501.000,13.600,15.000,0.283,0.396,0.394,0.789,0.327,119.000,0.000
Travis Demeritte,511.000,9.600,26.200,0.231,0.306,0.402,0.708,0.293,105.000,0.000
Travis Harrison,494.455,12.776,23.103,0.235,0.350,0.347,0.697,0.306,106.363,0.000
Travis Jones,436.000,11.500,21.300,0.249,0.350,0.355,0.706,0.317,103.000,0.000
Travis Mattair,524.539,7.651,22.776,0.240,0.309,0.375,0.684,0.295,96.530,0.000
Travis Metcalf,477.000,9.400,23.500,0.221,0.298,0.325,0.622,0.278,63.000,0.000
Travis Shaw,529.000,14.700,22.100,0.221,0.342,0.394,0.736,0.262,107.000,1.000
Travis Snider,423.000,12.300,27.400,0.262,0.357,0.461,0.818,0.333,121.000,1.000
Travis Taijeron,387.000,12.400,27.600,0.248,0.357,0.476,0.832,0.321,132.000,0.000
Travis Witherspoon,514.000,10.700,23.000,0.214,0.299,0.342,0.641,0.263,81.000,0.000
Travis d'Arnaud,466.000,7.100,21.500,0.311,0.371,0.542,0.914,0.365,150.000,1.000
Trayce Thompson,592.511,10.551,24.504,0.233,0.323,0.401,0.724,0.291,107.502,1.000
Trayvon Robinson,523.000,14.000,23.900,0.300,0.404,0.438,0.842,0.399,136.000,0.000
Trent Oeltjen,464.000,7.800,12.500,0.299,0.378,0.411,0.789,0.342,128.000,0.000
Trever Adams,468.014,7.367,23.013,0.258,0.316,0.407,0.722,0.318,103.812,0.000
Trevor Crowe,589.000,10.500,12.100,0.259,0.341,0.353,0.694,0.290,93.000,0.000
Trevor Plouffe,555.000,6.800,16.000,0.274,0.326,0.410,0.736,0.316,100.000,1.000
Trey Michalczewski,497.756,9.757,28.487,0.229,0.314,0.360,0.674,0.313,96.712,0.000
Troy Hanzawa,455.000,6.200,14.900,0.249,0.296,0.322,0.618,0.291,68.000,0.000
Troy Tulowitzki,485.000,9.500,14.600,0.291,0.370,0.473,0.843,0.320,121.000,1.000
Tucker Barnhart,395.000,11.400,14.400,0.260,0.348,0.348,0.696,0.300,105.000,1.000
Tuffy Gosewisch,406.000,4.900,15.000,0.247,0.295,0.404,0.699,0.259,89.000,0.000
Ty France,402.000,5.500,16.900,0.275,0.341,0.377,0.718,0.325,104.000,0.000
Ty Morrison,458.000,7.600,19.200,0.269,0.341,0.373,0.714,0.337,103.000,0.000
Ty Wright,497.000,7.000,12.100,0.290,0.349,0.412,0.761,0.315,113.000,0.000
Tyler Austin,437.000,8.200,18.300,0.275,0.336,0.419,0.756,0.323,110.000,0.000
Tyler Bortnick,404.000,11.400,15.100,0.253,0.352,0.385,0.737,0.297,110.000,0.000
Tyler Collins,530.000,9.600,23.000,0.240,0.323,0.438,0.760,0.277,110.000,0.000
Tyler Colvin,602.000,7.300,16.800,0.256,0.312,0.424,0.736,0.286,93.000,0.000
Tyler Goeddel,533.000,9.000,18.400,0.279,0.350,0.433,0.783,0.326,122.000,0.000
Tyler Greene,408.000,5.400,24.300,0.259,0.307,0.449,0.756,0.309,95.000,0.000
Tyler Henley,481.000,8.300,13.300,0.303,0.367,0.482,0.849,0.329,128.000,0.000
Tyler Henson,533.000,7.100,29.300,0.278,0.329,0.440,0.769,0.382,108.000,0.000
Tyler Holt,589.000,9.300,15.300,0.267,0.338,0.359,0.697,0.317,96.000,0.000
Tyler Krieger,480.000,8.800,22.300,0.225,0.303,0.337,0.640,0.282,77.000,0.000
Tyler Kuhn,453.177,8.300,15.330,0.311,0.374,0.430,0.804,0.365,120.099,0.000
Tyler Ladendorf,485.167,9.156,18.140,0.232,0.316,0.338,0.654,0.275,82.796,0.000
Tyler Marincov,423.000,9.500,21.500,0.267,0.340,0.404,0.743,0.325,115.000,0.000
Tyler Marlette,405.000,7.700,22.000,0.245,0.309,0.405,0.714,0.293,99.000,0.000
Tyler Massey,509.000,6.500,17.900,0.260,0.309,0.373,0.682,0.306,95.000,0.000
Tyler Moore,561.000,5.300,24.800,0.270,0.314,0.532,0.846,0.307,126.000,0.000
Tyler O'Neill,575.000,10.800,26.100,0.293,0.374,0.508,0.882,0.364,152.000,0.000
Tyler Pastornicky,395.000,6.100,8.600,0.299,0.345,0.414,0.759,0.315,105.000,0.000
Tyler Saladino,501.128,12.535,17.654,0.233,0.338,0.318,0.655,0.280,93.096,0.000
Tyler Smith,520.000,11.700,16.300,0.271,0.361,0.354,0.716,0.328,109.000,0.000
Tyler Wade,583.000,11.300,17.700,0.259,0.352,0.349,0.701,0.317,101.000,0.000
Tyrone Taylor,511.610,6.758,12.523,0.246,0.307,0.332,0.639,0.273,85.015,0.000
Tzu-Wei Lin,411.000,8.300,13.400,0.223,0.287,0.293,0.580,0.256,62.000,0.000
Van Pope,435.704,8.190,15.166,0.240,0.313,0.349,0.661,0.276,80.991,0.000
Vasili Spanos,480.693,7.273,14.969,0.294,0.370,0.436,0.805,0.330,115.423,0.000
Vic Buttler,454.000,7.300,11.700,0.292,0.345,0.445,0.790,0.321,122.000,0.000
Victor Caratini,480.000,11.300,16.700,0.291,0.375,0.405,0.780,0.341,129.000,0.000
Victor Cruzado,420.000,12.100,19.800,0.261,0.353,0.374,0.727,0.316,106.000,0.000
Victor Reyes,516.000,5.200,15.500,0.292,0.332,0.399,0.731,0.342,110.000,0.000
Vince Faison,430.141,8.582,20.392,0.245,0.314,0.419,0.733,0.293,100.113,0.000
Vince Sinisi,517.000,10.800,15.900,0.275,0.352,0.409,0.762,0.318,118.000,0.000
Vincent Blue,467.000,10.700,22.900,0.232,0.315,0.271,0.587,0.311,72.000,0.000
Vinnie Catricala,449.000,6.500,21.200,0.235,0.292,0.328,0.621,0.284,77.000,0.000
Viosergy Rosa,534.182,13.023,23.278,0.244,0.344,0.383,0.726,0.306,108.119,0.000
Wade Gaynor,470.394,6.957,27.592,0.212,0.272,0.357,0.630,0.273,75.319,0.000
Wade Hinkle,405.000,10.900,23.000,0.248,0.337,0.369,0.706,0.308,98.000,0.000
Wes Hodges,574.000,9.100,18.300,0.290,0.354,0.466,0.821,0.326,118.000,0.000
Whitney Robbins,475.000,9.100,15.800,0.278,0.348,0.405,0.753,0.318,110.000,0.000
Wil Myers,416.000,12.500,20.900,0.254,0.353,0.393,0.745,0.312,103.000,1.000
Wilberto Ortiz,485.000,7.200,9.700,0.257,0.321,0.301,0.622,0.288,74.000,0.000
Wilfredo Tovar,486.000,6.800,10.100,0.263,0.323,0.340,0.663,0.287,87.000,0.000
Wilin Rosario,426.000,4.500,21.400,0.249,0.284,0.457,0.741,0.272,92.000,1.000
Wilkin Castillo,449.000,3.800,13.800,0.302,0.333,0.437,0.769,0.342,109.000,0.000
Wilkin Ramirez,482.000,8.900,28.600,0.303,0.371,0.522,0.893,0.404,140.000,0.000
Will Middlebrooks,397.000,5.300,23.900,0.302,0.345,0.520,0.865,0.363,136.000,0.000
Will Rhymes,577.000,7.600,11.400,0.306,0.362,0.391,0.754,0.344,106.000,1.000
Will Swanner,409.000,10.800,30.800,0.260,0.343,0.455,0.799,0.352,132.000,0.000
Will Venable,572.000,6.600,14.700,0.278,0.337,0.373,0.710,0.316,91.000,1.000
Willie Argo,464.000,13.400,23.500,0.203,0.325,0.273,0.599,0.268,77.000,0.000
Willie Cabrera,407.426,7.144,9.661,0.282,0.338,0.407,0.744,0.299,103.799,0.000
Willie Calhoun,560.000,8.000,11.600,0.254,0.318,0.469,0.788,0.242,123.000,0.000
Willson Contreras,521.000,10.900,11.900,0.333,0.413,0.478,0.891,0.370,156.000,1.000
Willy Adames,568.000,13.000,21.300,0.274,0.372,0.430,0.802,0.342,135.000,0.000
Willy Garcia,474.000,5.100,30.600,0.271,0.311,0.478,0.789,0.361,114.000,0.000
Wilmer Difo,451.000,7.500,13.100,0.259,0.318,0.354,0.672,0.288,88.000,1.000
Wilson Batista,523.000,8.000,16.100,0.241,0.309,0.361,0.670,0.273,92.000,0.000
Wladimir Balentien,522.000,13.400,26.800,0.230,0.337,0.435,0.772,0.280,100.000,0.000
Wladimir Sutil,536.000,8.200,7.800,0.273,0.348,0.324,0.673,0.296,90.000,0.000
Wyatt Mathisen,430.000,10.200,17.400,0.272,0.357,0.365,0.722,0.326,103.000,0.000
Wynton Bernard,587.000,6.500,12.400,0.301,0.352,0.408,0.761,0.344,121.000,0.000
Xavier Avery,627.000,7.800,24.900,0.259,0.324,0.343,0.666,0.352,87.000,0.000
Xavier Paul,482.000,10.000,23.200,0.291,0.366,0.429,0.795,0.372,121.000,0.000
Xavier Scruggs,534.270,13.094,30.592,0.242,0.354,0.465,0.820,0.316,130.826,0.000
Yadir Drake,399.000,7.000,10.300,0.269,0.323,0.335,0.658,0.291,83.000,0.000
Yairo Munoz,414.000,5.600,18.400,0.240,0.286,0.367,0.653,0.278,87.000,0.000
Yancarlos Ortiz,384.000,9.900,17.700,0.223,0.307,0.260,0.567,0.279,61.000,0.000
Yandy Diaz,564.000,13.800,11.500,0.315,0.412,0.408,0.819,0.350,143.000,1.000
Yangervis Solarte,497.000,4.800,7.600,0.329,0.367,0.466,0.834,0.346,130.000,1.000
Yasiel Balaguert,518.000,6.800,19.900,0.256,0.307,0.407,0.714,0.295,105.000,0.000
Yefri Perez,377.000,10.300,17.500,0.259,0.334,0.308,0.642,0.315,90.000,0.000
Yeison Asencio,497.243,3.827,9.758,0.293,0.326,0.422,0.747,0.305,108.044,0.000
Yem Prades,522.000,2.100,21.800,0.269,0.288,0.390,0.678,0.332,85.000,0.000
Yorman Rodriguez,502.000,9.400,23.300,0.262,0.331,0.389,0.720,0.333,103.000,0.000
Yu-Cheng Chang,508.000,10.200,26.400,0.220,0.312,0.461,0.774,0.254,110.000,0.000
Yunel Escobar,501.000,11.800,15.400,0.264,0.361,0.346,0.707,0.314,110.000,1.000
Yunesky Sanchez,523.000,4.400,7.800,0.296,0.333,0.348,0.682,0.322,84.000,0.000
Zach Collier,513.000,9.200,25.100,0.222,0.310,0.348,0.658,0.293,85.000,0.000
Zach Daeges,476.000,15.100,15.100,0.307,0.412,0.454,0.866,0.356,136.000,0.000
Zach Houchins,518.000,7.100,15.800,0.251,0.306,0.416,0.721,0.275,106.000,0.000
Zach Vincej,438.000,5.700,19.400,0.281,0.329,0.378,0.708,0.346,106.000,0.000
Zack Cox,389.000,7.500,17.700,0.293,0.355,0.432,0.787,0.338,112.000,0.000
Zack Cozart,541.000,11.600,16.100,0.262,0.360,0.398,0.758,0.301,116.000,1.000
Zack Granite,584.000,7.200,7.400,0.295,0.347,0.382,0.729,0.312,113.000,0.000
Zack Zehner,501.000,12.800,25.000,0.260,0.355,0.408,0.764,0.340,113.000,0.000
Zelous Wheeler,495.910,11.285,14.596,0.275,0.374,0.421,0.795,0.304,122.654,0.000
Zoilo Almonte,451.000,5.500,22.800,0.277,0.322,0.487,0.808,0.319,120.000,0.000
